,Sam,Rack,Time,CPM Iso1,%Err1,LumEx,ElTime,t,3H-PTX
0,49,26-1,3,2143.03002929688,2.49000000953674,0.0,149.679992675781,26.0,46.713692294489086
1,50,26-2,3,2139.69995117188,2.5,0.0,153.080001831055,26.0,46.64132967803943
2,51,26-3,3,2207.0400390625,2.46000003814697,0.0,156.460006713867,26.0,48.10456261907229
3,52,26-4,3,2197.3701171875,2.46000003814697,0.0,159.860000610352,24.0,47.89445352840576
4,53,26-5,3,2236.0400390625,2.44000005722046,0.0,163.25,24.0,48.734660529296114
5,54,26-6,3,2377.7099609375,2.36999988555908,0.0,166.649993896484,24.0,51.812435221661914
6,55,26-7,3,2327.3798828125,2.39000010490417,0.0,170.029998779297,22.0,50.71908317391088
7,56,26-8,3,2218.3701171875,2.45000004768372,0.0,173.429992675781,22.0,48.3507401079218
8,57,26-9,3,2271.0400390625,2.42000007629395,0.0,176.809997558594,22.0,49.495089598502474
9,58,26-10,3,2152.3701171875,2.49000000953674,0.0,180.210006713867,20.0,46.916650586839424
10,59,26-11,3,2207.3798828125,2.46000003814697,0.0,183.600006103516,20.0,48.11194672788713
11,60,26-12,3,2179.0400390625,2.47000002861023,0.0,187.0,20.0,47.49616771407805
12,61,46-1,3,2266.7099609375,2.4300000667572,0.0,190.5,8.0,49.4010139555339
13,62,46-2,3,2226.05004882813,2.45000004768372,0.0,193.880004882812,8.0,48.51760577082659
14,63,46-3,3,2387.71997070313,2.35999989509583,0.0,197.279998779297,8.0,52.029880322560984
15,64,46-4,3,2275.3798828125,2.42000007629395,0.0,200.660003662109,7.0,49.58937684872473
16,65,46-5,3,2195.05004882813,2.46000003814697,0.0,204.059997558594,7.0,47.84404240776929
17,66,46-6,3,2361.71997070313,2.38000011444092,0.0,207.449996948242,7.0,51.465082473291034
18,67,46-7,3,2260.3798828125,2.4300000667572,0.0,210.850006103516,6.0,49.26348513437931
19,68,46-8,3,2105.05004882813,2.51999998092651,0.0,214.229995727539,6.0,45.888366151915626
20,69,46-9,3,2254.05004882813,2.4300000667572,0.0,217.630004882812,6.0,49.125960415869955
21,70,46-10,3,2270.38989257813,2.42000007629395,0.0,221.009994506836,5.0,49.48096449681809
22,71,46-11,3,2299.38989257813,2.41000008583069,0.0,224.410003662109,5.0,50.11100713152776
23,72,46-12,3,2290.71997070313,2.41000008583069,0.0,227.800003051758,5.0,49.92265041901131
24,73,48-1,3,2234.71997070313,2.44000005722046,0.0,231.300003051758,4.0,48.70597928175704
25,74,48-2,3,2392.06005859375,2.35999989509583,0.0,234.699996948242,4.0,52.12415815207136
26,75,48-3,3,2330.38989257813,2.39000010490417,0.0,238.080001831055,4.0,50.784473573880454
27,76,48-4,3,2225.38989257813,2.45000004768372,0.0,241.479995727539,3.0,48.50326230101058
28,77,48-5,3,2344.72998046875,2.38000011444092,0.0,244.869995117187,3.0,51.09599854630894
29,78,48-6,3,2371.72998046875,2.36999988555908,0.0,248.25,3.0,51.682532142530384
30,79,48-7,3,2175.71997070313,2.48000001907349,0.0,251.649993896484,2.0,47.42402636418318
31,80,48-8,3,2079.71997070313,2.52999997138977,0.0,255.050003051758,2.0,45.33790366158909
32,81,48-9,3,2257.39990234375,2.4300000667572,0.0,258.429992675781,2.0,49.19874093613542
33,82,48-10,3,2068.06005859375,2.53999996185303,0.0,261.829986572266,1.0,45.084508392538176
34,83,48-11,3,2201.72998046875,2.46000003814697,0.0,265.209991455078,1.0,47.9891854577211
35,84,48-12,3,2152.72998046875,2.49000000953674,0.0,268.619995117188,1.0,46.92447029086059
36,85,21-1,3,1483.38000488281,3.0,0.0,272.109985351563,0.5,32.371801868208486
37,86,21-2,3,1405.36999511719,3.07999992370605,0.0,275.5,0.5,30.674559344789596
38,87,21-3,3,1537.7099609375,2.94000005722046,0.0,278.880004882813,0.5,33.55367847485806
39,88,21-4,3,135.0,9.9399995803833,0.0199999995529652,282.279998779297,0.0,2.96821922965993
40,89,21-5,3,155.0,9.27000045776367,0.0199999995529652,285.660003662109,0.0,3.406486761360622
41,90,21-6,3,163.669998168945,9.02999973297119,0.0199999995529652,289.040008544922,0.0,3.5964194213464267
