,Sam,Rack,Time,CPM Iso1,%Err1,LumEx,ElTime,t,3H-PTX
0,1,61-1,3,89.6699981689453,12.1899995803833,0.0500000007450581,3.25999999046326,0.0,1.9740755235559375
1,2,61-2,3,81.0,12.8299999237061,0.0900000035762787,6.63000011444092,0.0,1.7837722826294475
2,3,61-3,3,117.0,10.6800003051758,0.0599999986588955,10.0100002288818,0.0,2.5736054894575586
3,4,61-4,3,1191.0,3.34999990463257,1.69759663277e-313,13.3800001144409,0.16666666666666666,26.009001830843577
4,5,61-5,3,1106.33996582031,3.47000002861023,1.69759663277e-313,16.7600002288818,0.16666666666666666,24.165758995490254
5,6,61-6,3,1116.67004394531,3.46000003814697,1.69759663277e-313,20.1499996185303,0.16666666666666666,24.39069137882681
6,7,61-7,3,2237.01000976563,2.44000005722046,0.0,23.5300006866455,0.3333333333333333,48.75573513895092
7,8,61-8,3,2422.669921875,2.34999990463257,0.0,26.9200000762939,0.3333333333333333,52.78906771300732
8,9,61-9,3,2469.34008789063,2.3199999332428,0.0,30.2999992370605,0.3333333333333333,53.80278993913542
9,10,61-10,3,3359.67993164063,1.99000000953674,0.0,33.7000007629395,0.5,73.13151773941046
10,11,61-11,3,3264.01000976563,2.01999998092651,0.0,37.0900001525879,0.5,71.05543610602211
11,12,61-12,3,3433.35009765625,1.97000002861023,0.0,40.4900016784668,0.5,74.73006848652224
12,13,61-1,3,4329.68994140625,1.75,0.0,43.9900016784668,1.0,94.17156183252892
13,14,61-2,3,4371.68994140625,1.75,0.0,47.3899993896484,1.0,95.08220569020897
14,15,61-3,3,4327.35986328125,1.75999999046326,0.0,50.7900009155273,1.0,94.1210402820146
15,16,61-4,3,5263.7001953125,1.5900000333786,0.0,54.189998626709,2.0,114.4167036349883
16,17,61-5,3,5034.35986328125,1.62999999523163,0.0,57.5900001525879,2.0,109.44675925793614
17,18,61-6,3,5089.02978515625,1.62000000476837,0.0,60.9900016784668,2.0,110.6315526390687
18,19,61-7,3,5512.7001953125,1.55999994277954,0.0,64.3899993896484,3.0,119.81192072413107
19,20,61-8,3,5409.3701171875,1.57000005245209,0.0,67.7900009155273,3.0,117.57310658918432
20,21,61-9,3,5785.0400390625,1.51999998092651,0.0,71.1900024414062,3.0,125.71198515507693
21,22,61-10,3,5554.0400390625,1.54999995231628,0.0,74.5899963378906,4.0,120.70757884023193
22,23,61-11,3,5558.0498046875,1.54999995231628,0.0,77.9899978637695,4.0,120.7944522521831
23,24,61-12,3,5515.7099609375,1.54999995231628,0.0,81.3899993896484,4.0,119.87713021520916
24,25,62-1,3,5373.0498046875,1.58000004291534,0.0,84.8899993896484,5.0,116.78613640509273
25,26,62-2,3,5493.3798828125,1.55999994277954,0.0,88.2900009155273,5.0,119.39332476955498
26,27,62-3,3,5471.39013671875,1.55999994277954,0.0,91.6900024414062,5.0,118.91688699136543
27,28,62-4,3,5543.72021484375,1.54999995231628,0.0,95.0899963378906,6.0,120.48399421352676
28,29,62-5,3,5591.72021484375,1.53999996185303,0.0,98.4899978637695,6.0,121.52392943485371
29,30,62-6,3,5738.06005859375,1.51999998092651,0.0,101.889999389648,6.0,124.69425765196394
30,31,62-7,3,5790.06005859375,1.51999998092651,0.0,105.290000915527,7.0,125.82073232943054
31,32,62-8,3,5477.72998046875,1.55999994277954,0.0,108.690002441406,7.0,119.05424894691188
32,33,62-9,3,5425.06005859375,1.57000005245209,0.0,112.089996337891,7.0,117.91306320806758
33,34,62-10,3,5310.06005859375,1.58000004291534,0.0,115.48999786377,8.0,115.42126698566287
34,35,62-11,3,5230.72998046875,1.60000002384186,0.0,118.889999389648,8.0,113.70226133017532
35,36,62-12,3,5491.06982421875,1.55999994277954,0.0,122.290000915527,8.0,119.34327448615707
36,37,4-1,3,5417.41015625,1.57000005245209,0.0,125.809997558594,24.0,117.74731186159035
37,38,4-2,3,5314.06982421875,1.58000004291534,0.0,129.210006713867,24.0,115.50815257030649
38,39,4-3,3,5447.740234375,1.55999994277954,0.0,132.610000610352,24.0,118.40447299972337
39,40,4-4,3,5204.740234375,1.60000002384186,0.0,136.009994506836,26.0,113.1390711732142
40,41,4-5,3,5084.41015625,1.62000000476837,0.0,139.410003662109,26.0,110.5314386959764
41,42,4-6,3,5258.41015625,1.5900000333786,0.0,142.809997558594,26.0,114.30207300132713
