,Sam,Rack,Time,CPM Iso1,%Err1,LumEx,ElTime,t,condition,washing buffer,BCA,protein,Tritium,volume,3H-PTX
0,1,26-1,3,7188.33984375,1.36000001430511,0.0,3.27999997138977,0.0,False,Fresh media,1.174166666666667,0.595319822007579,0.00012488049464562807,5.25e-06,23.786760884881538
1,2,26-2,3,7464.669921875,1.3400000333786,0.0,6.67999982833862,0.0,False,Fresh media,1.174166666666667,0.595319822007579,0.00012966581810342913,5.25e-06,24.698251067319834
2,3,26-3,3,7373.33984375,1.3400000333786,0.0,10.0799999237061,0.0,False,Fresh media,1.174166666666667,0.595319822007579,0.00012808427914202857,5.25e-06,24.397005550862588
3,4,26-4,3,7405.33984375,1.3400000333786,0.0,13.4799995422363,0.0,True,10μM PTX,1.174166666666667,0.595319822007579,0.0001286384216499908,5.25e-06,24.502556504760157
4,5,26-5,3,7156.68017578125,1.36000001430511,0.0,16.8799991607666,0.0,True,10μM PTX,1.174166666666667,0.595319822007579,0.0001243321947033366,5.25e-06,23.682322800635543
5,6,26-6,3,7234.009765625,1.36000001430511,0.0,20.2800006866455,0.0,True,10μM PTX,1.174166666666667,0.595319822007579,0.0001256714187824054,5.25e-06,23.937413101410552
6,7,26-7,3,5529.35009765625,1.54999995231628,0.0,23.6599998474121,0.5,False,Fresh media,1.174166666666667,0.595319822007579,9.613812449149244e-05,5.25e-06,18.312023712665226
7,8,26-8,3,5677.68017578125,1.52999997138977,0.0,27.0599994659424,0.5,False,Fresh media,1.174166666666667,0.595319822007579,9.87089678411412e-05,5.25e-06,18.801708160217373
8,9,26-9,3,5450.02001953125,1.55999994277954,0.0,30.4599990844727,0.5,False,Fresh media,1.174166666666667,0.595319822007579,9.476309487414405e-05,5.25e-06,18.05011330936077
9,10,26-10,3,3351.34008789063,1.99000000953674,0.0,33.8499984741211,0.5,True,10μM PTX,1.174166666666667,0.595319822007579,5.836043734510335e-05,5.25e-06,11.116273780019688
10,11,26-11,3,3425.01000976563,1.97000002861023,0.0,37.25,0.5,True,10μM PTX,1.174166666666667,0.595319822007579,5.963928351465111e-05,5.25e-06,11.359863526600211
11,12,26-12,3,3451.01000976563,1.97000002861023,0.0,40.6300010681152,0.5,True,10μM PTX,1.174166666666667,0.595319822007579,6.009060045659138e-05,5.25e-06,11.445828658398359
12,13,48-1,3,5349.35986328125,1.58000004291534,0.0,44.1399993896484,1.0,False,Fresh media,1.174166666666667,0.595319822007579,9.301826062792412e-05,5.25e-06,17.717763929128406
13,14,48-2,3,5489.02978515625,1.55999994277954,0.0,47.5400009155273,1.0,False,Fresh media,1.174166666666667,0.595319822007579,9.543925956483458e-05,5.25e-06,18.178906583778016
14,15,48-3,3,5399.35986328125,1.57000005245209,0.0,50.939998626709,1.0,False,Fresh media,1.174166666666667,0.595319822007579,9.388496889174241e-05,5.25e-06,17.882851217474748
15,16,48-4,3,2245.35009765625,2.44000005722046,0.0,54.3300018310547,1.0,True,10μM PTX,1.174166666666667,0.595319822007579,3.914955162917135e-05,5.25e-06,7.457057453175496
16,17,48-5,3,2387.67993164063,2.35999989509583,0.0,57.7299995422363,1.0,True,10μM PTX,1.174166666666667,0.595319822007579,4.162320845523565e-05,5.25e-06,7.9282301819496475
17,18,48-6,3,2342.67993164063,2.39000010490417,0.0,61.1100006103516,1.0,True,10μM PTX,1.174166666666667,0.595319822007579,4.084117081718385e-05,5.25e-06,7.779270631844543
18,19,48-7,3,3736.36010742188,1.88999998569489,0.0,64.5199966430664,3.0,False,Fresh media,1.174166666666667,0.595319822007579,6.504312526997706e-05,5.25e-06,12.389166718090868
19,20,48-8,3,3732.36010742188,1.88999998569489,0.0,67.9000015258789,3.0,False,Fresh media,1.174166666666667,0.595319822007579,6.497370980490711e-05,5.25e-06,12.375944724744214
20,21,48-9,3,3852.03002929688,1.86000001430511,0.0,71.3000030517578,3.0,False,Fresh media,1.174166666666667,0.595319822007579,6.705034631529936e-05,5.25e-06,12.771494536247497
21,22,48-10,3,430.0,5.57000017166138,1.69759663277e-313,74.6800003051758,3.0,True,10μM PTX,1.174166666666667,0.595319822007579,7.536172422974363e-06,5.25e-06,1.4354614138998787
22,23,48-11,3,451.0,5.44000005722046,1.69759663277e-313,78.0599975585937,3.0,True,10μM PTX,1.174166666666667,0.595319822007579,7.903042212338253e-06,5.25e-06,1.505341373778715
23,24,48-12,3,460.339996337891,5.38000011444092,1.69759663277e-313,81.4400024414062,3.0,True,10μM PTX,1.174166666666667,0.595319822007579,8.066194578748324e-06,5.25e-06,1.5364180149996807
24,25,46-1,3,3102.68994140625,2.0699999332428,0.0,84.9499969482422,6.0,False,Fresh media,1.174166666666667,0.595319822007579,5.404342626964733e-05,5.25e-06,10.293985956123302
25,26,46-2,3,3082.03002929688,2.07999992370605,0.0,88.3300018310547,6.0,False,Fresh media,1.174166666666667,0.595319822007579,5.3684685830972854e-05,5.25e-06,10.22565444399483
26,27,46-3,3,3084.03002929688,2.07999992370605,0.0,91.7300033569336,6.0,False,Fresh media,1.174166666666667,0.595319822007579,5.371941432515679e-05,5.25e-06,10.232269395267961
27,28,46-4,3,143.669998168945,9.63000011444092,0.0199999995529652,95.1100006103516,6.0,True,10μM PTX,1.174166666666667,0.595319822007579,2.5265851310129986e-06,5.25e-06,0.4812543106691426
28,29,46-5,3,135.669998168945,9.90999984741211,0.0199999995529652,98.4899978637695,6.0,True,10μM PTX,1.174166666666667,0.595319822007579,2.3863234205329973e-06,5.25e-06,0.4545377943872376
29,30,46-6,3,149.669998168945,9.4399995803833,1.69759663277e-313,101.879997253418,6.0,True,10μM PTX,1.174166666666667,0.595319822007579,2.631765342152296e-06,5.25e-06,0.5012886366004373
30,31,46-7,3,2652.03002929688,2.24000000953674,0.0,105.269996643066,9.0,False,Fresh media,1.174166666666667,0.595319822007579,4.6216345275308445e-05,5.25e-06,8.803113385773038
31,32,46-8,3,2573.69995117188,2.27999997138977,0.0,108.669998168945,9.0,False,Fresh media,1.174166666666667,0.595319822007579,4.485549990729354e-05,5.25e-06,8.54390474424639
32,33,46-9,3,2503.03002929688,2.30999994277954,0.0,112.050003051758,9.0,False,Fresh media,1.174166666666667,0.595319822007579,4.362762529138248e-05,5.25e-06,8.310023865025235
33,34,46-10,3,90.3300018310547,12.1499996185303,0.0199999995529652,115.440002441406,9.0,True,10μM PTX,1.174166666666667,0.595319822007579,1.590847947130484e-06,5.25e-06,0.3030186565962827
34,35,46-11,3,98.3300018310547,11.6400003433228,0.0299999993294477,118.830001831055,9.0,True,10μM PTX,1.174166666666667,0.595319822007579,1.7312815962373636e-06,5.25e-06,0.3297679230928312
35,36,46-12,3,92.3300018310547,12.0200004577637,0.0199999995529652,122.209999084473,9.0,True,10μM PTX,1.174166666666667,0.595319822007579,1.6259598691952114e-06,5.25e-06,0.30970664175146884
36,37,21-1,3,2015.03002929687,2.5699999332428,0.0,125.699996948242,24.0,False,Fresh media,1.174166666666667,0.595319822007579,3.514559504836214e-05,5.25e-06,6.694399056830885
37,38,21-2,3,1948.68994140625,2.61999988555908,0.0,129.100006103516,24.0,False,Fresh media,1.174166666666667,0.595319822007579,3.3992059926460417e-05,5.25e-06,6.4746780812305555
38,39,21-3,3,91.3300018310547,12.0799999237061,0.0299999993294477,132.479995727539,24.0,True,10μM PTX,1.174166666666667,0.595319822007579,1.6084042080487331e-06,5.25e-06,0.3063627062949968
39,40,21-4,3,53.0,15.8599996566772,0.0299999993294477,135.860000610352,24.0,True,10μM PTX,1.174166666666667,0.595319822007579,9.349642321878119e-07,5.25e-06,0.17808842517863085
40,41,21-5,3,11.6700000762939,33.810001373291,0.0900000035762787,139.240005493164,24.0,True,10μM PTX,1.174166666666667,0.595319822007579,2.068428535523557e-07,5.25e-06,0.03939863877187728
