Name,Data File,Type,RT,Area,c,t,Competitor,condition
0-1,BYL172_3.d,Sample,4.621,357384,21.02863175951677,0.0,False,(-) DTX
0-2,BYL172_4.d,Sample,4.573,511369,27.83467959322856,0.0,False,(-) DTX
0-3,BYL172_5.d,Sample,4.535,596764,31.50187781986886,0.0,True,(+) DTX
0-4,BYL172_6.d,Sample,4.523,570794,30.392355795757634,0.0,True,(+) DTX
0.5-1,BYL172_7.d,Sample,4.5,439124,24.680393072670544,0.5,False,(-) DTX
0.5-2,BYL172_8.d,Sample,4.504,426411,24.11901134705353,0.5,False,(-) DTX
0.5-3,BYL172_9.d,Sample,4.49,167276,11.871597887639902,0.5,True,(+) DTX
0.5-4,BYL172_10.d,Sample,4.501,146781,10.779151053069885,0.5,True,(+) DTX
1-1,BYL172_11.d,Sample,4.487,332538,19.895285592113012,1.0,False,(-) DTX
1-2,BYL172_12.d,Sample,4.518,311676,18.933175988800357,1.0,False,(-) DTX
1-3,BYL172_13.d,Sample,4.875,40753,4.174561237262865,1.0,True,(+) DTX
1-4,BYL172_14.d,Sample,4.933,47071,4.6533148383256995,1.0,True,(+) DTX
3-1,BYL172_15.d,Sample,4.822,151927,11.056659386136314,3.0,False,(-) DTX
3-2,BYL172_16.d,Sample,4.8,137224,10.25742704591131,3.0,False,(-) DTX
3-3,BYL172_17.d,Sample,4.702,8424,1.1593383210033288,3.0,True,(+) DTX
3-4,BYL172_18.d,Sample,4.616,7201,1.0068826361450782,3.0,True,(+) DTX
6-1,BYL172_19.d,Sample,4.821,87324,7.357556679368182,6.0,False,(-) DTX
6-2,BYL172_20.d,Sample,4.855,71584,6.355369594924198,6.0,False,(-) DTX
6-3,BYL172_21.d,Sample,4.838,2740,0.3909439736604877,6.0,True,(+) DTX
6-4,BYL172_22.d,Sample,5.431,954,0.11508113800624606,6.0,True,(+) DTX
24-1,BYL172_23.d,Sample,4.738,68695,6.16489387199603,24.0,False,(-) DTX
24-2,BYL172_24.d,Sample,4.634,77918,6.765470585526346,24.0,False,(-) DTX
24-3,BYL172_25.d,Sample,5.065,316,0.024339089104237183,24.0,True,(+) DTX
24-4,BYL172_26.d,Sample,4.894,922,0.11018529899723309,24.0,True,(+) DTX
