Name,Area,t,c_cell,Competitor
0-1,1237757,0.0,5.046208649283719,False
0-2,1267212,0.0,5.166351181472973,False
0-3,1573802,0.0,6.416885859588855,True
0-4,1578753,0.0,6.437080246853122,True
0.5-1,297778,0.5,1.2121751315542166,False
0.5-2,223054,0.5,0.907387130355446,False
0.5-3,298040,0.5,1.2132437903025985,True
0.5-4,285225,0.5,1.16097332518614,True
1-1,146418,1.0,0.5948003676035992,False
1-2,76492,1.0,0.3095826895908424,False
1-3,67054,1.0,0.2710865015479913,True
1-4,166568,1.0,0.676989198824562,True
3-1,34354,3.0,0.13770810050950563,False
3-2,22213,3.0,0.08818678041751009,False
3-3,31272,3.0,0.12513708424037376,True
3-4,24561,3.0,0.0977639206510992,True
6-1,20734,6.0,0.08215416099439327,False
6-2,12596,6.0,0.04896047819160437,False
6-3,9117,6.0,0.034770158399161206,True
6-4,6566,6.0,0.02436501157808545,True
24-1,10314,24.0,0.039652542070203016,False
24-2,8869,24.0,0.033758603553364734,False
24-3,8276,24.0,0.03133984539385948,True
24-4,6817,24.0,0.025388802974435912,True
