Name,Area,c,t,rebind,c_cell,Competitor
0-1,447635,0.009114543991248761,0.0,True,0.12659088876734392,False
0-2,473831,0.009663653577670746,0.0,True,0.1342174108009826,False
0-3,401670,0.008153300676969717,0.0,False,0.11324028718013497,True
0-4,441729,0.008990870039945581,0.0,False,0.1248731949992442,True
0.5-1,263713,0.00528889673643273,0.5,True,0.07345689911712126,False
0.5-2,193800,0.003852637912665782,0.5,True,0.05350885989813586,False
0.5-3,161213,0.0031879827476912195,0.5,False,0.04427753816237805,True
0.5-4,190271,0.0037804942044161174,0.5,False,0.05250686395022385,True
2-1,79658,0.001543767040029631,2.0,True,0.02144120888930043,False
2-2,130897,0.0025730964076892513,2.0,True,0.03573745010679517,False
2-3,73456,0.0014202737148976967,2.0,False,0.019726023818023568,True
2-4,76738,0.001485588768359761,2.0,False,0.020633177338330016,True
6-1,20236,0.0003770885343852358,6.0,True,0.0052373407553504975,False
6-2,18103,0.0003362672666277529,6.0,True,0.004670378703163235,False
6-3,13439,0.0002475127889186587,6.0,False,0.0034376776238702602,True
6-4,16307,0.000302001639371173,6.0,False,0.0041944672134885145,True
18-1,12983,0.00023887826339816497,18.0,True,0.0033177536583078476,False
18-2,13647,0.0002514541478201733,18.0,True,0.003492418719724629,False
18-3,17364,0.00032215562606494963,18.0,False,0.004474383695346523,True
18-4,16990,0.0003150203799504827,18.0,False,0.004375283054867816,True
