,Name,Area,c,t,Competitor,c_cell
7,0-1,28310692,0.19374243092056115,0.0,False,4.0363006441783575
8,0-2,26035105,0.176360838686202,0.0,False,3.674184139295875
9,0-3,28545475,0.19554571588243608,0.0,True,4.073869080884085
10,0-4,26138570,0.1771472431724054,0.0,True,3.69056756609178
11,1-1,24927197,0.1679641080684719,1.0,False,3.4992522514264977
12,1-2,26152844,0.1772557650883294,1.0,False,3.6928284393401962
13,1-3,22676376,0.1510469189321046,1.0,True,3.1468108110855124
14,1-4,22401849,0.14899714175471496,1.0,True,3.1041071198898953
15,3-1,21139518,0.1396117123856012,3.0,False,2.9085773413666915
16,3-2,21432735,0.14178584388228452,3.0,False,2.953871747547594
17,3-3,17082691,0.10992953413405714,3.0,True,2.290198627792857
18,3-4,19175101,0.12514297313342432,3.0,True,2.607145273613007
19,6-1,18606611,0.12098860655365158,6.0,False,2.5205959698677414
20,6-2,18004980,0.11660886912973883,6.0,False,2.4293514402028924
21,6-3,14830954,0.09381060224474952,6.0,True,1.954387546765615
22,6-4,15426379,0.09804569316481043,6.0,True,2.0426186076002173
23,9-1,18185764,0.11792308990041478,9.0,False,2.4567310395919746
24,9-2,18196160,0.11799871281864288,9.0,False,2.45830651705506
25,9-3,12166992,0.07512688012837271,9.0,True,1.5651433360077647
26,9-4,11982832,0.07385246775624922,9.0,True,1.5385930782551922
27,24-1,7473299,0.043485935902683376,24.0,False,0.9059569979725703
28,24-2,7258022,0.042083219275968586,24.0,False,0.8767337349160123
29,24-3,2688119,0.0138105264016289,24.0,True,0.2877193000339354
30,24-4,2172030,0.010873104140723884,24.0,True,0.2265230029317476
