Name,Area,c,t,Dox,c_cell,group,condition,c_norm
0-1-,17167278,0.07984496378282083,0.0,(-) Dox,11.08957830316956,(-) Everolimus,"(-) Dox, (-) Everolimus",1.1572953770018934
0-2-,12729912,0.05814048983519737,0.0,(-) Dox,8.075068032666302,(-) Everolimus,"(-) Dox, (-) Everolimus",0.8427046229981066
0-3-,5042716,0.024325958505434328,0.0,(-) Dox,3.3786053479769897,(+) Everolimus,"(-) Dox, (+) Everolimus",0.3525872889873637
0-4-,5586794,0.026643996849648202,0.0,(-) Dox,3.700555118006695,(+) Everolimus,"(-) Dox, (+) Everolimus",0.38618558914776824
0-1+,69381088,0.5343071968258756,0.0,(+) Dox,74.20933289248272,(-) Everolimus,"(+) Dox, (-) Everolimus",0.9796832996637872
0-2+,71073183,0.5564681527370737,0.0,(+) Dox,77.2872434357047,(-) Everolimus,"(+) Dox, (-) Everolimus",1.0203167003362128
0-3+,36234789,0.19944488049986242,0.0,(+) Dox,27.700677847203114,(+) Everolimus,"(+) Dox, (+) Everolimus",0.3656937802633251
0-4+,41983174,0.24505293927217006,0.0,(+) Dox,34.03513045446807,(+) Everolimus,"(+) Dox, (+) Everolimus",0.44931880679254005
0.5-1-,15345290,0.07069081484843732,0.5,(-) Dox,9.81816872894963,(-) Everolimus,"(-) Dox, (-) Everolimus",1.0246125659611773
0.5-2-,15377971,0.07085195211276377,0.5,(-) Dox,9.840548904550523,(-) Everolimus,"(-) Dox, (-) Everolimus",1.0269481348215372
0.5-3-,1250018,0.006954023388930194,0.5,(-) Dox,0.9658365817958603,(+) Everolimus,"(-) Dox, (+) Everolimus",0.10079357217146742
0.5-4-,1321817,0.007338928008757484,0.5,(-) Dox,1.019295556771873,(+) Everolimus,"(-) Dox, (+) Everolimus",0.10637248806056995
0.5-1+,70625088,0.5505470725703754,0.5,(+) Dox,76.46487119032992,(-) Everolimus,"(+) Dox, (-) Everolimus",1.0094600557135216
0.5-2+,39979547,0.22861281908353753,0.5,(+) Dox,31.751780428269104,(-) Everolimus,"(+) Dox, (-) Everolimus",0.41917489091615034
0.5-3+,6712588,0.03143688076554708,0.5,(+) Dox,4.366233439659316,(+) Everolimus,"(+) Dox, (+) Everolimus",0.05764134801569025
0.5-4+,5771942,0.02743178240809904,0.5,(+) Dox,3.8099697789026443,(+) Everolimus,"(+) Dox, (+) Everolimus",0.050297767398374695
1-1-,4498706,0.021997686724359235,1.0,(-) Dox,3.055234267272116,(-) Everolimus,"(-) Dox, (-) Everolimus",0.3188406625129472
1-2-,3692577,0.018506685018954725,1.0,(-) Dox,2.5703729192992673,(-) Everolimus,"(-) Dox, (-) Everolimus",0.2682411012712446
1-3-,224655,0.0008570807484887545,1.0,(-) Dox,0.11903899284566036,(+) Everolimus,"(-) Dox, (+) Everolimus",0.012422769589342228
1-4-,132163,0.00034784929802469705,1.0,(-) Dox,0.04831240250343015,(+) Everolimus,"(-) Dox, (+) Everolimus",0.005041825625875607
1-1+,8883432,0.04079157767019056,1.0,(+) Dox,5.665496898637578,(-) Everolimus,"(+) Dox, (-) Everolimus",0.07479372849145313
1-2+,7193516,0.03349172585393767,1.0,(+) Dox,4.651628590824677,(-) Everolimus,"(+) Dox, (-) Everolimus",0.06140902591419416
1-3+,1081253,0.006029152440935345,1.0,(+) Dox,0.8373822834632424,(+) Everolimus,"(+) Dox, (+) Everolimus",0.011054801418735946
1-4+,1091180,0.006084388174191117,1.0,(+) Dox,0.8450539130820995,(+) Everolimus,"(+) Dox, (+) Everolimus",0.011156079345997326
3-1-,606258,0.003244789808988126,3.0,(-) Dox,0.4506652512483509,(-) Everolimus,"(-) Dox, (-) Everolimus",0.04703089672003542
3-2-,568447,0.003010584573649956,3.0,(-) Dox,0.41813674634027165,(-) Everolimus,"(-) Dox, (-) Everolimus",0.043636260123245806
3-3-,36680,1.87069977250797e-05,3.0,(-) Dox,0.0025981941284832916,(+) Everolimus,"(-) Dox, (+) Everolimus",0.00027114449001074895
3-4-,52687,4.822899227751128e-05,3.0,(-) Dox,0.006698471149654344,(+) Everolimus,"(-) Dox, (+) Everolimus",0.0006990445878595642
