,Name,Area,c,t,c_cell,Competitor
6,0-1,47558261,0.1832824630856913,0.0,3.8183846476185686,False
7,0-2,27850003,0.0939687511822661,0.0,1.9576823162972101,False
8,0-3,27562963,0.09272689948768872,0.0,1.9318104059935153,True
9,0-4,23664557,0.07602190909102473,0.0,1.583789772729682,True
10,0.7-1,16509348,0.046269257833973905,0.7,0.963942871541123,False
11,0.7-2,17903705,0.05195313899283753,0.7,1.0823570623507819,False
12,0.7-3,14948990,0.03999819249067959,0.7,0.8332956768891581,True
13,0.7-4,14795798,0.039388408716826175,0.7,0.820591848267212,True
14,1.5-1,18670437,0.05510599223558908,1.5,1.1480415049081059,False
15,1.5-2,15796480,0.043391351610076706,1.5,0.9039864918765982,False
16,1.5-3,10317625,0.022234084336809463,1.5,0.46321009035019717,True
17,1.5-4,11059909,0.024963684880494396,1.5,0.5200767683436333,True
18,3-1,10866167,0.024245676343470895,3.0,0.5051182571556437,False
19,3-2,11021370,0.02482056133843711,3.0,0.5170950278841064,False
20,3-3,6668062,0.009982935684393844,3.0,0.2079778267582051,True
21,3-4,6302218,0.008909157447278312,3.0,0.1856074468182982,True
22,8-1,5870116,0.0076916878274305035,8.0,0.16024349640480215,False
23,8-2,5703083,0.007237028290585867,8.0,0.15077142272053892,False
24,8-3,4747611,0.00483128451319622,8.0,0.10065176069158792,True
25,8-4,4285038,0.003802676691192958,8.0,0.07922243106651995,True
26,24-1,2364916,0.000764773555871541,24.0,0.01593278241399044,False
27,24-2,2725497,0.0011625751846509292,24.0,0.02422031634689436,False
28,24-3,2842999,0.0013108096070952504,24.0,0.027308533481151052,True
29,24-4,3285393,0.001947588273870112,24.0,0.04057475570562733,True
