Name,Area,c,t,c_cell,Competitor
0-1,26860129,0.10870443283732958,0.0,6.470501954602952,False
0-2,22830283,0.09101707638943818,0.0,5.41768311841894,False
0-3,25974222,0.10473240390172382,0.0,6.234071660816895,True
0-4,25532756,0.10277111027419078,0.0,6.117327992511356,True
1-1,11565973,0.04577470583716693,1.0,2.724684871259937,False
1-2,9995692,0.03973910504058801,1.0,2.36542291908262,False
1-3,10389170,0.04125179315466867,1.0,2.4554638782540876,True
1-4,10491316,0.04164435115524252,1.0,2.4788304259072933,True
3-1,6593151,0.026502115718647235,3.0,1.5775068880147165,False
3-2,5975862,0.024035846576810425,3.0,1.430705153381573,False
3-3,6674142,0.026823486073393236,3.0,1.5966360757972164,True
3-4,5647633,0.022710712079221144,3.0,1.3518280999536394,True
6-1,4948288,0.019848926111491937,6.0,1.1814836971126152,False
6-2,4141366,0.016468281926693376,6.0,0.9802548765888914,False
6-3,3301522,0.012839556935763748,6.0,0.7642593414145088,True
6-4,3118502,0.012032030095202801,6.0,0.7161922675715954,True
10-1,3751944,0.014800924033814321,10.0,0.8810073829651383,False
10-2,3248846,0.01260777276008379,10.0,0.7504626642907019,False
10-3,1930538,0.006653364998531323,10.0,0.3960336308649597,True
10-4,1440030,0.004408062258837062,10.0,0.26238465826411084,True
26-1,1855980,0.006310647118553351,26.0,0.37563375705674706,False
26-2,1685437,0.005527468958397873,26.0,0.32901600942844483,False
26-3,728887,0.0014003251730220915,26.0,0.08335268887036258,True
26-4,720111,0.0013682103175176573,26.0,0.08144109032843197,True
